,score
10,0.6554397623722499
12,0.6530735538438303
11,0.6528218295322963
8,0.6519156220107738
9,0.6514625182500126
14,0.6485928610985249
7,0.6483411367869909
13,0.6473845844031617
6,0.6453204450485828
5,0.6448673412878215
4,0.6439611337662992
3,0.6413935457886523
2,0.6180838745406031
